Cre,Layer,image_series_id,specimen,target,hemisphere,flat_x,flat_y,injection_x,injection_y,injection_z,top_x,top_y
A93,L5,711357362,A930038C07Rik-Tg1-Cre-381248,ACAd,right,1074,731,1681.228931,5375.198286,6139.297932,568,513
A93,L5,742738607,A930038C07Rik-Tg1-Cre-390992,ACAd,right,1082,662,2020.858874,4786.380743,6215.479184,407,474
Ctgf,L6,736864334,Ctgf-T2A-dgCre-388637,ACAd,right,1059,709,1688.791989,5174.782188,6214.477677,569,498
Cux,L2,689174351,Cux2-IRES-Cre-378029,ACAd,right,1075,700,1731.081434,5069.684489,5976.060122,426,514
Pvalb,pan,722879836,Pvalb-IRES-Cre;Ai75-385368,ACAd,right,1047,685,1678.148077,4942.342636,6224.416951,568,480
Rbp,L5,730765491,Rbp4-Cre_KL100-388978,ACAd,right,1029,696,1469.912344,5005.655985,6128.298693,566,491
Rbp,L5,850919348,Rbp4-Cre_KL100-428628,ACAd,right,1056,647,1977.393718,4672.101776,6375.744132,569,445
SepW,L2,775181535,Sepw1-Cre_NP39-407881,ACAd,right,1057,702,1532.03399,5036.36755,5883.004404,569,490
SepW,L2,775195646,Sepw1-Cre_NP39-407883,ACAd,right,1093,664,2018.602255,4764.333303,5937.810888,424,469
Sst,pan,714547490,Sst-IRES-Cre;Ai148-380969,ACAd,right,1055,702,1613.950646,5073.384473,6123.363605,569,492
Syt6,L6,683076281,Syt6-Cre_KI148-375936,ACAd,right,1073,661,2032.180013,4812.167193,6341.13548,568,452
Syt6,L6,692168095,Syt6-Cre_KI148-375941,ACAd,right,1062,686,1862.990636,5016.689829,6327.21282,569,478
Syt6,L6,1153766255,Syt6-Cre_KI148-602825,ACAd,right,1054,617,1990.165907,4377.426096,6318.752353,569,419
Tlx,L5,1090967862,Tlx3-Cre_PL56-564648,ACAd,right,1029,670,1545.553446,4764.116901,6115.215446,565,467
Tlx,L5,1091745970,Tlx3-Cre_PL56-564650,ACAd,right,1053,670,1646.759204,4764.974398,6026.169913,569,464
Vip,pan,724640132,Vip-IRES-Cre;Sst-IRES-FlpO;Ai65-384120,ACAd,right,1084,655,1978.428229,4682.472311,6018.078757,419,459
Cux,L2,859013135,Cux2-IRES-Cre-435558,ACAv,right,1108,693,2074.854472,5067.282105,5990.640216,424,510
Cux,L2,901187872,Cux2-IRES-Cre-448392,ACAv,right,1135,695,2304.519004,5126.934541,5964.078324,422,504
Penk,L2/3/5/6,974247546,Penk-IRES2-Cre-neo-469246,ACAv,right,1174,536,3319.614031,4268.386441,6046.22014,411,334
Rbp,L5,857426105,Rbp4-Cre_KL100-433049,ACAv,right,1124,701,2233.027497,5186.104216,6143.088822,411,516
Rbp,L5,1037931590,Rbp4-Cre_KL100-501430,ACAv,right,1163,681,2597.441782,5053.66615,6118.046973,404,473
Rbp,L5,1029011901,Rbp4-Cre_KL100-490317,ACAv,right,1167,776,2212.358955,5857.711188,6019.033501,416,575
A93,L5,740284594,A930038C07Rik-Tg1-Cre-393194,PL,right,1129,443,3171.162762,3428.574168,6081.816118,416,340
A93,L5,750305447,A930038C07Rik-Tg1-Cre-395329,PL,right,1105,473,2949.601419,3465.137593,6222.888103,413,353
Ctgf,L6,786098453,Ctgf-T2A-dgCre-413086,PL,right,1128,469,3191.06639,3674.542154,6289.860145,403,348
Glt25d2,L5,719764429,Glt25d2-Cre_NF107-384655,PL,right,1128,409,3059.718681,3084.985643,6092.41917,419,333
Ntsr,L6,784151801,Ntsr1-Cre_GN220-413033,PL,right,1124,460,3112.559495,3516.696012,6162.681954,413,347
Pvalb,pan,704141620,Pvalb-IRES-Cre-380322,PL,right,1160,388,3250.590969,3115.841488,6158.488963,414,329
Rbp,L5,1050910928,Rbp4-Cre_KL100-528798,PL,right,1088,513,2841.333931,3781.472702,6594.336148,569,322
SepW,L2,778147776,Sepw1-Cre_NP39-407887,PL,right,1157,371,3161.248114,2859.61245,5913.05687,426,318
Sst,pan,680924722,Sst-IRES-Cre;Ai167-374577,PL,right,1149,441,3350.056967,3572.11625,6038.366513,413,328
Cux,L2,779835258,Cux2-IRES-Cre-410378,ILA,left,1155,416,3313.894304,3352.073161,5347.031484,480,312
A93,L5,1152797436,A930038C07Rik-Tg1-Cre-600765,ILA,right,1174,422,3682.295178,3859.470156,6204.72608,398,300
Ctgf,L6,710805745,Ctgf-T2A-dgCre-378887,ILA,right,1163,391,3448.645533,3526.616272,6505.711317,386,334
Ctgf,L6,1144762859,Ctgf-T2A-dgCre-595406,ILA,right,839,322,3912.903516,3871.516637,6286.598078,388,278
Cux,L2,1179644635,Cux2-IRES-Cre-620436,ILA,right,1173,461,3544.702855,3902.412572,6044.581979,409,310
Glt25d2,L5,718154932,Glt25d2-Cre_NF107-384656,ILA,right,1146,430,3296.412385,3436.211171,6056.715899,414,331
Rbp,L5,757336581,Rbp4-Cre_KL100-398597,ILA,right,1156,415,3318.741774,3358.252934,6087.005696,413,329
Rbp,L5,1145081396,Rbp4-Cre_KL100-596094,ILA,right,1174,392,3886.751639,3730.313273,6094.141954,400,273
Syt6,L6,1144904780,Syt6-Cre_KI148-595871,ILA,right,1172,399,3726.002462,3788.312503,6403.377705,385,305
Pvalb,pan,709227592,Pvalb-IRES-Cre-380321,ILA,right,1155,416,3331.092441,3444.301774,6276.156884,402,334
A93,L5,740282869,A930038C07Rik-Tg1-Cre-393191,ORBl,right,891,223,3033.144368,2674.585242,6855.395725,401,324
A93,L5,740283878,A930038C07Rik-Tg1-Cre-393192,ORBl,right,828,206,3299.932041,2620.537638,7181.134378,398,319
Ctgf,L6,1045070604,Ctgf-T2A-dgCre-509616,ORBl,right,686,136,4208.590928,3704.211252,7627.311444,220,375
Ctgf,L6,774778847,Ctgf-T2A-dgCre;Ai75-402891,ORBl,right,912,235,2959.814485,2662.246434,6766.988334,402,325
Ntng2,pan,1089199911,Esr2-IRES2-Cre-562135,ORBl,right,679,130,4485.159628,3604.316848,7583.95608,171,422
Gad2,pan,1042260777,Gad2-IRES-Cre-507012,ORBl,right,843,116,3769.050388,2973.381251,6910.846612,376,304
Glt25d2,L5,729497287,Glt25d2-Cre_NF107-387909,ORBl,right,856,194,3263.883374,2733.121538,7028.032824,397,324
Pvalb,pan,765333763,Pvalb-IRES-Cre-401202,ORBl,right,845,156,3591.574469,2739.185654,7027.619894,390,309
Rbp,L5,745628709,Rbp4-Cre_KL100-397025,ORBl,right,878,200,3166.817436,2776.261169,6908.777497,398,327
Rbp,L5,755440688,Rbp4-Cre_KL100-397026,ORBl,right,872,182,3312.134133,2706.220125,6907.040549,399,321
Rbp,L5,771162010,Rbp4-Cre_KL100-401266,ORBl,right,843,154,3599.890613,2794.578771,7033.224149,388,311
SepW,L2,792529394,Sepw1-Cre_NP39-416328,ORBl,right,820,118,3924.066578,2822.684393,7050.736139,370,288
Slc17a6,pan,1029404870,Slc17a6-IRES-Cre-490622,ORBl,right,829,110,3795.66949,3046.337836,6997.215334,371,305
Sst,pan,742982211,Sst-IRES-Cre-392283,ORBl,right,846,155,3637.640174,2670.574312,7004.255199,391,305
Sst,pan,727958410,Sst-IRES-Cre;Ai32-386127,ORBl,right,808,168,3651.412208,2661.19193,7239.975847,388,304
Syt6,L6,736441610,Syt6-Cre_KI148-389835,ORBl,right,838,157,3549.493318,2878.147457,7080.223265,387,317
Vip,pan,736451569,Vip-IRES-Cre;Ai32-389260,ORBl,right,821,118,3812.547706,2955.98721,7068.085574,372,301
Vip,pan,725283708,Vip-IRES-Cre;Sst-IRES-FlpO-386885,ORBl,right,849,149,3615.942639,2792.102576,6968.745564,388,310
Cux,L2,772588769,Cux2-IRES-Cre-403908,ORBm,right,1055,252,3807.97226,2972.711085,6163.823345,399,285
Rbp,L5,745627970,Rbp4-Cre_KL100-397024,ORBm,right,1079,273,3502.136143,2812.185117,6191.507437,409,308
Sst,pan,738715056,Sst-IRES-Cre-392282,ORBm,right,1108,310,3707.605271,3125.904482,6201.937502,399,298
Vip,pan,685677294,Vip-IRES-Cre-376826,ORBm,right,1089,289,3690.626482,3144.430036,6296.366342,394,302
Vip,pan,718153123,Vip-IRES-Cre-384792,ORBm,right,1164,367,3385.143611,2992.365524,5844.670948,425,314
Ctgf,L6,1004300606,Ctgf-T2A-dgCre-484373,ORBvl,right,880,178,3280.516664,2906.707015,6875.456249,396,331
Gad2,pan,1042261138,Gad2-IRES-Cre-507011,ORBvl,right,822,129,3915.933289,2723.410902,7055.709657,374,286
A93,L5,741949424,A930038C07Rik-Tg1-Cre-390995,AId,right,590,228,4242.314593,3330.506956,8028.414249,219,370
A93,L5,739653013,A930038C07Rik-Tg1-Cre-390996,AId,right,546,276,4323.940072,3686.906813,8335.195261,191,405
Cux,L2,772014571,Cux2-IRES-Cre-402632,AId,right,653,209,4092.837687,2739.791239,7794.781463,334,285
Glt25d2,L5,717571579,Glt25d2-Cre_NF107-384657,AId,right,554,288,4183.331485,3898.202194,8213.106757,213,389
Ntng2,pan,864753911,Ntng2-IRES2-Cre-449953,AId,right,551,266,4331.479152,3662.957727,8262.821908,190,405
Ntsr,L6,703586080,Ntsr1-Cre_GN220-381017,AId,right,528,266,4573.13034,3482.71034,8502.614627,154,443
Pvalb,pan,743574282,Pvalb-IRES-Cre-391894,AId,right,513,262,4667.408784,3678.977995,8455.866741,136,471
Pvalb,pan,743575020,Pvalb-IRES-Cre-391901,AId,right,450,306,4850.273257,4128.004142,8768.367701,111,519
Rbp,L5,729375285,Rbp4-Cre_KL100-388972,AId,right,564,241,4326.359583,3664.061525,8090.713366,192,402
SepW,L2,794935486,Sepw1-Cre_NP39-418044,AId,right,489,318,4600.56048,3625.174367,9076.459078,144,459
Sst,pan,713284359,Sst-IRES-Cre;Ai148-380970,AId,right,535,302,4248.0078,4044.382033,8296.006123,195,408
Sst,pan,690742326,Sst-IRES-Cre;Ai167-378089,AId,right,585,283,4021.291178,3591.681779,8208.906586,244,366
A93,L5,1045639814,A930038C07Rik-Tg1-Cre-509127,AIv,right,557,210,4613.184217,3548.130312,8142.897962,147,453
Glt25d2,L5,721427724,Glt25d2-Cre_NF107-384658,AIv,right,510,244,4826.895089,3497.214051,8469.462398,130,473
SepW,L2,795621235,Sepw1-Cre_NP39-418042,AIv,right,501,232,4993.358843,3370.863419,8484.786578,124,481
Vip,pan,687261394,Vip-IRES-Cre-376825,AIv,right,529,227,4774.543624,3341.350672,8332.436668,138,461
Vip,pan,724640881,Vip-IRES-Cre;Sst-IRES-FlpO;Ai65-384121,AIv,right,511,251,4740.475963,3634.425212,8422.863007,131,476
Ntng2,pan,863469869,Ntng2-IRES2-Cre-448819,AIp,right,276,486,4908.509541,5815.052275,9433.044106,95,565
Cux,L2,910314636,Cux2-IRES-Cre-450618,VISC,right,332,505,4545.377987,5440.242961,9993.518821,105,555
Nr5a,L4,1145143711,Nr5a1-Cre-596296,VISC,right,315,514,4592.827291,5620.981083,9926.902067,104,556
Cux,L2,847793841,Cux2-IRES-Cre-428496,TEa,left,420,990,2088.550011,8810.195344,1550.941051,136,888
Pvalb,pan,896793984,Pvalb-IRES-Cre-461446,TEa,left,357,994,2513.170706,9041.163069,1325.464199,111,912
Sst,pan,982656740,Sst-IRES-Cre-471642,TEa,left,396,962,2399.889578,8622.132796,1535.02742,115,871
Vip,pan,842304647,Vip-IRES-Cre-424987,TEa,left,404,999,2379.886133,8858.730889,1741.436148,132,900
Vip,pan,842785222,Vip-IRES-Cre-424988,TEa,left,450,968,1939.036827,8533.955477,1643.169615,142,858
Tlx,L5,1051416770,Tlx3-Cre_PL56-530604,TEa,right,406,993,2341.583434,8817.435499,9697.132233,130,894
Cux,L2,1221479843,Cux2-IRES-Cre-635105,TEa,right,350,1063,2734.199863,9404.763065,9580.532027,135,972
Ntsr,L6,1220534947,Ntsr1-Cre_GN220-635404,TEa,right,305,1033,3016.619823,9340.076541,9805.684914,109,962
A93,L5,929509746,A930038C07Rik-Tg1-Cre-457736,SSs,right,415,583,3715.385306,5724.09161,9488.348991,103,538
Ctgf,L6,1170703444,Ctgf-T2A-dgCre-616303,SSs,right,429,580,3635.576675,5630.355169,9483.965783,108,530
Cux,L2,663931515,Cux2-IRES-Cre-368289,SSs,right,478,674,2692.99019,5961.89308,9836.978535,123,585
Cux,L2,880128393,Cux2-IRES-Cre-441850,SSs,right,445,686,2975.481792,6264.954452,9733.329901,108,609
Cux,L2,898597998,Cux2-IRES-Cre-448394,SSs,right,390,581,3765.296353,5639.58993,9998.06108,96,548
Cux,L2,975257506,Cux2-IRES-Cre-466028,SSs,right,422,629,3460.63352,6001.178538,9531.936173,102,573
Cux,L2,975330988,Cux2-IRES-Cre-468405,SSs,right,424,665,3130.425926,6131.187093,9956.452259,101,600
Nr5a,L4,855327694,Nr5a1-Cre-431664,SSs,right,446,590,3381.373212,5513.855376,9742.861036,115,530
Nr5a,L4,859683936,Nr5a1-Cre-436751,SSs,right,427,631,3265.772633,5849.258371,9964.880596,104,572
Ntng2,pan,864752272,Ntng2-IRES2-Cre-448821,SSs,right,449,599,3519.832923,5766.738108,9261.702302,115,537
Ntsr,L6,851698951,Ntsr1-Cre_GN220-426298,SSs,right,444,533,3740.320274,5287.789563,9411.698147,123,490
Ntsr,L6,1155950344,Ntsr1-Cre_GN220-605761,SSs,right,425,592,3637.046885,5755.027326,9437.412153,106,541
Pvalb,pan,849598765,Pvalb-IRES-Cre-428669,SSs,right,481,576,3292.551065,5366.206885,9411.868298,133,507
Pvalb,pan,851697899,Pvalb-IRES-Cre-428673,SSs,right,468,539,3537.578396,5170.001899,9421.518507,134,484
Rbp,L5,777095354,Rbp4-Cre_KL100-405703,SSs,right,346,561,4187.607,5786.859888,9814.049919,90,556
Rbp,L5,878193492,Rbp4-Cre_KL100-441005,SSs,right,440,607,3434.814202,5754.666932,9528.160145,110,547
Rbp,L5,1001736326,Rbp4-Cre_KL100-483055,SSs,right,401,684,3411.357344,6553.176316,9461.200144,92,626
Rbp,L5,999266184,Rbp4-Cre_KL100-484542,SSs,right,430,714,3136.020722,6682.407183,9426.445311,100,638
Scnn1a-Tg3,L4,898596995,Scnn1a-Tg3-Cre-446030,SSs,right,469,563,3400.087757,5296.264324,9514.617143,130,501
Scnn1a-Tg3,L4,893401886,Scnn1a-Tg3-Cre-446032,SSs,right,389,531,4021.716089,5376.044483,9807.288718,106,512
Sim1,L5,852313818,Sim1-Cre_KJ18-427297,SSs,right,405,581,3696.896217,5634.139557,9794.758547,100,542
Sim1,L5,859016239,Sim1-Cre_KJ18-435200,SSs,right,446,563,3537.772206,5365.264511,9663.951871,118,511
Sst,pan,856547195,Sst-IRES-Cre;Ai32-434485,SSs,right,398,553,3923.212587,5595.321442,9505.630314,103,524
Vip,pan,878700844,Vip-IRES-Cre-440988,SSs,right,500,591,3137.659591,5417.605967,9311.445922,139,510
A93,L5,1172299672,A930038C07Rik-Tg1-Cre-618331,SSs,right,373,528,4188.778877,5568.323184,9511.175911,99,527
Rbp,L5,1152416283,Rbp4-Cre_KL100-600716,SSs,right,389,521,4104.700974,5425.997578,9551.475607,106,511
A93,L5,761810541,A930038C07Rik-Tg1-Cre-397217,SSp-bfd,right,656,838,1540.736514,6884.748253,8507.987603,254,670
A93,L5,762106846,A930038C07Rik-Tg1-Cre-397218,SSp-bfd,right,620,833,1694.746628,6941.928831,8731.231485,224,676
Ctgf,L6,791308022,Ctgf-T2A-dgCre-414889,SSp-bfd,right,547,833,2154.237032,7255.584728,8998.769897,172,699
Ctgf,L6,1052003970,Ctgf-T2A-dgCre-529256,SSp-bfd,right,659,835,1814.433547,6990.174929,8307.652739,255,666
Cux,L2,792528565,Cux2-IRES-Cre-415345,SSp-bfd,right,627,846,1470.123583,6963.314911,8799.85633,231,685
Cux,L2,835912961,Cux2-IRES-Cre-423046,SSp-bfd,right,624,853,1526.752245,7058.053643,8769.892571,230,692
Cux,L2,869457144,Cux2-IRES-Cre-438677,SSp-bfd,right,545,805,1716.659125,6797.575082,9571.658325,168,675
Cux,L2,973374672,Cux2-IRES-Cre-468409,SSp-bfd,right,542,819,1786.898166,6957.925192,9479.188562,167,689
Nr5a,L4,784153367,Nr5a1-Cre-412602,SSp-bfd,right,632,825,1466.495646,6751.121986,8812.577896,232,664
Nr5a,L4,783329142,Nr5a1-Cre-412603,SSp-bfd,right,668,837,1276.435051,6758.813917,8572.580239,263,666
Ntsr,L6,746148979,Ntsr1-Cre_GN220-395669,SSp-bfd,right,601,811,1996.902856,6909.029283,8739.386276,207,662
Ntsr,L6,1030878906,Ntsr1-Cre_GN220-492152,SSp-bfd,right,624,867,1692.65144,7255.459618,8596.170849,233,706
Pvalb,pan,782071957,Pvalb-IRES-Cre-408473,SSp-bfd,right,595,859,1626.137008,7193.847168,8937.447226,210,708
Pvalb,pan,783349499,Pvalb-IRES-Cre-408474,SSp-bfd,right,553,822,1922.644533,7019.00882,9219.912979,175,687
Rbp,L5,769753401,Rbp4-Cre_KL100-401254,SSp-bfd,right,495,743,2591.453271,6602.331462,9372.755827,132,637
Rbp,L5,775971931,Rbp4-Cre_KL100-404809,SSp-bfd,right,471,773,2642.079372,6985.022347,9417.029283,122,674
Rbp,L5,778982770,Rbp4-Cre_KL100-409316,SSp-bfd,right,567,829,1938.102465,7074.8832,9032.312766,185,689
Rbp,L5,779834509,Rbp4-Cre_KL100-409740,SSp-bfd,right,649,801,1745.686492,6621.126674,8541.256901,242,638
Rbp,L5,673386060,Rbp4-Cre_KL100;Ai75-369275,SSp-bfd,right,482,768,2678.942731,6936.124145,9275.605903,127,664
Scnn1a-Tg3,L4,768604556,Scnn1a-Tg3-Cre-400728,SSp-bfd,right,633,829,1540.672026,6823.230501,8744.352579,233,668
Scnn1a-Tg3,L4,769239521,Scnn1a-Tg3-Cre-402270,SSp-bfd,right,607,854,1515.089524,7092.800391,8926.917006,218,699
SepW,L2,794195334,Sepw1-Cre_NP39-418041,SSp-bfd,right,660,820,1276.559306,6607.781982,8703.012168,253,652
Sim1,L5,812973381,Sim1-Cre_KJ18-420618,SSp-bfd,right,588,813,1900.752013,6889.947022,8923.185334,197,667
Sim1,L5,812465492,Sim1-Cre_KJ18-420629,SSp-bfd,right,667,839,1535.691511,6879.850798,8412.476941,263,668
Sst,pan,765860010,Sst-IRES-Cre-401710,SSp-bfd,right,636,842,1541.708614,6942.135068,8678.853794,238,679
Sst,pan,769238612,Sst-IRES-Cre-403346,SSp-bfd,right,659,824,1529.306429,6733.854366,8547.27798,253,656
Tlx,L5,764382945,Tlx3-Cre_PL56-400032,SSp-bfd,right,651,840,1485.430058,6883.459962,8584.632188,250,673
Vip,pan,744938708,Vip-IRES-Cre-394821,SSp-bfd,right,660,764,1940.044631,6341.92185,8436.667945,246,602
Vip,pan,787085372,Vip-IRES-Cre-414301,SSp-bfd,right,632,875,1409.722402,7202.077941,8702.410141,241,710
Sst,pan,891635739,Sst-IRES-Cre-446223,SSp-tr,right,854,878,952.8666478,6778.270759,6975.974955,436,663
Cux,L2,664714336,Cux2-IRES-Cre-366536,SSp-ul,right,758,645,1770.662119,4985.556783,7998.040418,320,475
Cux,L2,663650295,Cux2-IRES-Cre-366537,SSp-ul,right,783,670,1485.232301,5081.487955,7820.997196,345,492
Rbp,L5,668365108,Rbp4-Cre_KL100-368445,SSp-ul,right,766,659,1848.222057,5158.25474,7857.261272,328,486
Rbp,L5,660744728,Rbp4-Cre_KL100;APP_PS1-360967,SSp-ul,right,776,655,1861.184176,5121.883393,7768.168011,337,480
Cux,L2,664715206,Cux2-IRES-Cre-368290,SSp-n,right,529,659,2536.553645,5692.780319,9507.388506,149,552
Cux,L2,866996527,Cux2-IRES-Cre-438673,SSp-n,right,627,666,2040.819067,5446.770478,8984.940392,212,526
Rbp,L5,722318582,Rbp4-Cre_KL100-384558,SSp-n,right,530,683,2584.439127,5964.505819,9305.415455,149,572
Rbp,L5,788203048,Rbp4-Cre_KL100-413542,SSp-n,right,640,659,2235.98929,5456.138819,8737.954771,222,516
Rbp,L5,878192758,Rbp4-Cre_KL100-441006,SSp-n,right,509,611,3014.743315,5532.074777,9292.22379,141,522
Scnn1a-Tg3,L4,767961578,Scnn1a-Tg3-Cre-400727,SSp-n,right,594,628,2353.153277,5257.291872,9152.370113,189,505
SepW,L2,846927506,Sepw1-Cre_NP39-425356,SSp-n,right,519,688,2323.389104,5889.535174,9768.057714,143,581
Tlx,L5,1171687603,Tlx3-Cre_PL56-616340,SSp-n,right,546,674,2412.753,5775.409418,9380.620353,158,560
Vip,pan,878701773,Vip-IRES-Cre-440987,SSp-n,right,485,620,2987.438676,5587.258385,9629.203072,129,538
A93,L5,757334697,A930038C07Rik-Tg1-Cre-400396,SSp-n,right,578,640,2484.101051,5458.114088,9120.934076,178,520
